Table,Field
Account,ParentId
Account,Nombre_de_Facturacion__c
Account,Acuerdo_activado__c
Account,Fecha_de_inicio_off_limit__c
Account,Description
Account,LastModifiedById
Account,Empresa_Principal__c
Account,OwnerId
Account,CreatedDate
Account,LastReferencedDate
Account,IsDeleted
Account,Ibex35__c
Account,CurrencyIsoCode
Account,Disponibilidad__c
Account,Rating
Account,Phone
Account,prefijopais__c
Account,AccountSource
Account,N_Empleados__c
Account,volumen_de_facturacion__c
Account,Telefono_Empresa__c
Account,BillingAddress
Account,BillingCity
Account,BillingStreet
Account,BillingLatitude
Account,BillingCountry
Account,BillingState
Account,BillingPostalCode
Account,BillingLongitude
Account,BillingStateCode
Account,BillingCountryCode
Account,BillingGeocodeAccuracy
Account,Direcciones_adicionales__c
Account,Banco__c
Account,Condiciones_de_Pago__c
Account,Dia_del_Mes__c
Account,AAA_acount__c
Account,GG_account__c
Account,BAA_account__c
Account,MMC_account__c
Account,SystemModstamp
Account,LastViewedDate
Account,LastActivityDate
Account,LastModifiedDate
Account,IsCustomerPortal
Account,Plan_Comercial__c
Account,JigsawCompanyId
Account,prefijopaisB__c
Account,NumberOfEmployees
Account,comentarios_bdr__c
Account,Estado_Cuentas_BDR__c
Account,Cuenta_activa_BDR__c
Account,Cliente_nuevo__c
Account,Fecha_cliente_nuevo__c
Account,Industry
Account,PhotoUrl
Account,LID__LinkedIn_Company_Id__c
Account,Industria__c
Account,MasterRecordId
Account,MidCap2020__c
Account,ShippingLatitude
Account,ShippingPostalCode
Account,ShippingCity
Account,ShippingCountryCode
Account,ShippingGeocodeAccuracy
Account,ShippingAddress
Account,ShippingCountry
Account,ShippingLongitude
Account,ShippingStateCode
Account,ShippingState
Account,ShippingStreet
Account,_airbyte_raw_id
Account,_airbyte_extracted_at
Account,_airbyte_meta
Account,EzekiaCompanyId
Account,Id
Account,Name
Account,Sector__c
Account,Subsector__c
Account,Off_limit__c
Account,Fecha_de_fin_off_limit__c
Account,Descripcion_de_los_Off_limit_de_Contacto__c
Account,Type
Account,Website
Account,LinkedIn__c
Account,CreatedById
Account,AccountNumber
Asset,IsDeleted
Asset,Nivel_del_Cargo_del_proceso_de_b_squeda__c
Asset,Area_de_Actividad_del_Proceso_de_B_squed__c
Asset,Price
Asset,CreatedById
Asset,Receptor_de_Progress__c
Asset,RootAssetId
Asset,LastViewedDate
Asset,SystemModstamp
Asset,LastModifiedById
Asset,LastModifiedDate
Asset,LastReferencedDate
Asset,City
Asset,State
Asset,Street
Asset,Address
Asset,Country
Asset,Latitude
Asset,ParentId
Asset,Quantity
Asset,Idioma__c
Asset,Longitude
Asset,StateCode
Asset,PostalCode
Asset,CountryCode
Asset,Colectivo__c
Asset,PurchaseDate
Asset,RecordTypeId
Asset,SerialNumber
Asset,IDB_Invest__c
Asset,Target_List__c
Asset,GeocodeAccuracy
Asset,StockKeepingUnit
Asset,previsualizado__c
Asset,Area_del_proceso__c
Asset,IsCompetitorProduct
Asset,Konos_by_Talengo__c
Asset,Referencia_Id_Mig__c
Asset,Total_proceso_H_G__c
Asset,Plantilla_Progress__c
Asset,Total_Participantes__c
Asset,Alcance_del_programa__c
Asset,Contenido_del_programa__c
Asset,Objetivos_del_programa__c
Asset,Sector_Empresa_Proceso__c
Asset,Subsector_Empresa_Proceso__c
Asset,Total_candidatos_en_Fase_1__c
Asset,Total_candidatos_en_Fase_2__c
Asset,Total_candidatos_en_Fase_3__c
Asset,Total_candidatos_en_Fase_4__c
Asset,Total_candidatos_en_Fase_5__c
Asset,Total_candidatos_en_Fase_6__c
Asset,Total_candidatos_en_Fase_7__c
Asset,Resultado_output_del_programa__c
Asset,Informaci_n_adicional_del_proceso__c
Asset,Nombre_propietario_de_la_referencia__c
Asset,_airbyte_raw_id
Asset,_airbyte_extracted_at
Asset,_airbyte_meta
Asset,CreatedDate
Asset,CurrencyIsoCode
Asset,EzekiaProjectId
Asset,UsageEndDate
Asset,Pais_que_genera_proceso__c
Asset,Id
Asset,Name
Asset,Status
Asset,OwnerId
Asset,Order__c
Asset,AccountId
Asset,ContactId
Asset,Product2Id
Asset,Description
Asset,InstallDate
Asset,ExecutiveSummary__c
Asset,Fecha_de_presentaci_n__c
Asset,Descripci_n_del_proceso2__c
Asset,Descripci_n_de_la_Posici_n__c
Asset,Situaci_n_del_trabajo_de_Research__c
Attachment,BodyLength
Attachment,ConnectionReceivedId
Attachment,ConnectionSentId
Attachment,IsEncrypted
Attachment,IsPartnerShared
Attachment,Body
Attachment,ContentType
Attachment,Description
Attachment,IsPrivate
Attachment,Name
Attachment,OwnerId
Attachment,ParentId
Contact,Title
Contact,Sector__c
Contact,CreatedById
Contact,MailingCity
Contact,IndividualId
Contact,MailingState
Contact,MailingStreet
Contact,MailingAddress
Contact,MasterRecordId
Contact,SystemModstamp
Contact,MailingLatitude
Contact,LastActivityDate
Contact,MailingLongitude
Contact,MailingStateCode
Contact,Disponibilidad__c
Contact,MailingPostalCode
Contact,MailingCountryCode
Contact,Curriculum_Vitae__c
Contact,SMS_RGPD_enviado__c
Contact,Pendiente_de_borrado__c
Contact,Interlocutor_Accion_Global_Mig__c
Contact,Fax
Contact,Edad__c
Contact,PhotoUrl
Contact,HashId__c
Contact,IsDeleted
Contact,Department
Contact,Twitter__c
Contact,CreatedDate
Contact,Es_Nuevo__c
Contact,ReportsToId
Contact,TalengoId__c
Contact,AssistantName
Contact,Sub_Sector__c
Contact,AssistantPhone
